,Membrane Potential (mV),pr2445_A6,pr2445_A21,pr2445_A23,pr2445_B24,pr2445_C17,pr2445_D11,pr2445_D20,pr2445_E18,pr2445_F16,pr2445_F24,pr2445_H2,pr2445_I11,pr2445_K12,pr2445_K18,pr2445_L18,pr2445_M20,pr2445_N9,pr2445_N15,pr2445_O2,pr2453_B6,pr2453_B8,pr2453_H14,pr2453_H18,pr2453_I12,pr2453_I14,pr2453_J10,pr2453_J12,pr2453_J14,pr2453_K5,pr2453_M13,pr2453_P24,pr2461_E20,pr2461_F9,pr2461_L16,pr2461_M24
0,FIN_-100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.972852,1.0,1.0,1.0,1.0,1.0,0.947206,1.0,1.0,1.0,1.0,0.944057,1.0,0.977672,0.978797,1.0,0.815835,0.954273,1.0
1,FIN_-95.0,0.78262,0.939506,0.955542,0.932791,0.949181,0.986926,0.923734,0.829799,0.861144,0.959155,0.941298,0.903633,0.876525,0.924814,0.975862,0.932198,1.0,0.877772,0.963768,0.975524,0.924258,0.975955,0.990053,0.986489,0.903896,0.952813,0.884965,0.983454,0.933928,1.0,1.0,0.946978,0.749084,0.905246,0.920444
2,FIN_-90.0,0.731389,0.934983,0.929521,0.859567,0.919489,0.971591,0.862338,0.815699,0.849732,0.966262,0.912095,0.838211,0.869884,0.905206,0.978496,0.897136,0.971472,0.811018,0.931574,0.951012,0.830429,0.937456,1.0,0.958826,0.827814,0.887559,0.890262,1.0,0.847676,0.946342,0.920541,0.876268,1.0,0.859876,0.883732
3,FIN_-85.0,0.635564,0.873638,0.901155,0.78429,0.890988,0.946013,0.816206,0.764581,0.799461,0.97863,0.865436,0.813843,0.785923,0.849011,0.91727,0.898057,0.767784,0.768178,0.900691,0.917035,0.789536,0.88776,0.87682,0.86391,0.680431,0.880769,0.782819,0.808451,0.785248,0.952128,0.818086,0.846944,0.728196,1.0,0.920937
4,FIN_-80.0,0.645837,0.790283,0.883147,0.733206,0.86998,0.890092,0.774678,0.719334,0.781759,0.905585,0.788255,0.751196,0.808277,0.808303,0.922194,0.85781,0.820248,0.716156,0.875044,0.844809,0.68222,0.834867,0.86964,0.85848,0.652724,0.846305,0.702385,0.854307,0.759937,0.921797,0.703513,0.660474,0.598344,0.657042,0.911471
5,FIN_-75.0,0.597964,0.783638,0.873702,0.654451,0.806833,0.854015,0.706982,0.63136,0.724433,0.910041,0.741405,0.644551,0.71047,0.748625,0.853586,0.809204,0.731607,0.645222,0.832297,0.782404,0.592396,0.700591,0.792245,0.723803,0.48007,0.69127,0.663486,0.785333,0.629932,0.854797,0.735039,0.558439,0.545573,0.685177,0.870066
6,FIN_-70.0,0.45344,0.751968,0.767787,0.560464,0.761671,0.827739,0.62284,0.595405,0.617396,0.918222,0.687421,0.550633,0.621461,0.642459,0.798955,0.793014,0.732857,0.541786,0.780947,0.687561,0.484584,0.624833,0.711411,0.607565,0.374165,0.609971,0.63093,0.821968,0.520329,0.742645,0.54376,0.452251,0.410091,0.439446,0.8211
7,FIN_-65.0,0.635291,0.660009,0.639374,0.451078,0.64282,0.80596,0.50202,0.607182,0.606288,0.820963,0.600669,0.325244,0.647955,0.541957,0.761358,0.706156,0.69689,0.454565,0.708646,0.586326,0.267801,0.55372,0.649965,0.430834,0.230821,0.467157,0.472823,0.729594,0.440356,0.61472,0.422726,0.253021,0.297778,0.37429,0.735378
8,FIN_-60.0,0.503229,0.536019,0.612759,0.349654,0.522327,0.755828,0.375451,0.557838,0.547288,0.749304,0.508723,0.268601,0.544971,0.452352,0.726024,0.713353,0.614231,0.291995,0.575747,0.456625,0.221099,0.439633,0.441879,0.283905,0.163543,0.298751,0.411929,0.621406,0.355739,0.431541,0.276368,0.137582,0.224482,0.267832,0.587056
9,FIN_-55.0,0.485407,0.394914,0.469133,0.239556,0.365505,0.709987,0.24363,0.418788,0.411726,0.697445,0.405355,0.243672,0.444646,0.319711,0.596321,0.627201,0.516546,0.182335,0.385483,0.300406,0.148115,0.430764,0.330278,0.1687,0.111118,0.236633,0.369647,0.5828,0.528076,0.312094,0.170922,0.180952,0.21778,0.254823,0.435611
10,FIN_-50.0,0.403647,0.321725,0.325795,0.177228,0.209116,0.67169,0.170286,0.407622,0.382371,0.548404,0.289754,0.209189,0.327722,0.270931,0.460787,0.599904,0.49145,0.179249,0.246872,0.174447,0.174653,0.315528,0.329142,0.139322,0.132319,0.196885,0.24729,0.505548,0.223244,0.300972,0.188821,0.161256,0.174524,0.213439,0.368018
11,FIN_-45.0,0.53215,0.215903,0.253635,0.135111,0.155837,0.592529,0.146138,0.273768,0.174136,0.330663,0.238596,0.18808,0.230188,0.234247,0.347727,0.445246,0.527891,0.155657,0.149688,0.103865,0.142242,0.263942,0.357742,0.104593,0.072203,0.206138,0.180869,0.353837,0.213024,0.298747,0.158406,0.142439,0.194472,0.152904,0.242266
12,FIN_-40.0,0.490024,0.137103,0.243808,0.109973,0.116235,0.422134,0.111762,0.22056,0.323528,0.227236,0.220971,0.154507,0.290906,0.287134,0.211297,0.334501,0.535635,0.140546,0.108179,0.10734,0.113418,0.159315,0.307168,0.145565,0.111249,0.213259,0.176209,0.28095,0.186089,0.31512,0.10224,0.169735,0.207126,0.161582,0.180212
13,FIN_-35.0,0.47776,0.142251,0.234603,0.08812,0.10452,0.336665,0.107952,0.25344,0.272001,0.132522,0.181703,0.17793,0.172815,0.255315,0.147169,0.223382,0.5145,0.129044,0.09839,0.052523,0.179324,0.17063,0.283759,0.143668,0.126893,0.161657,0.186623,0.313296,0.188636,0.283117,0.199376,0.167608,0.168699,0.186863,0.17671
14,FIN_-30.0,0.463536,0.120671,0.239904,0.074992,0.133326,0.180888,0.111315,0.304476,0.293511,0.139482,0.173399,0.153805,0.24187,0.247007,0.145598,0.164337,0.505912,0.141968,0.085482,0.066195,0.134365,0.199531,0.257438,0.137754,0.21034,0.187617,0.171694,0.374695,0.155182,0.292812,0.112394,0.12988,0.142024,0.137906,0.155258
15,FIN_-25.0,0.482247,0.133218,0.218625,0.099178,0.132515,0.093087,0.114153,0.266222,0.233031,0.086148,0.196733,0.14158,0.165414,0.229323,0.068142,0.117541,0.500555,0.13839,0.085466,0.041147,0.129357,0.103391,0.268659,0.145801,0.033407,0.174175,0.166706,0.292929,0.165538,0.251526,0.102295,0.134834,0.2204,0.175353,0.165191
16,FIN_-20.0,0.535765,0.128433,0.247996,0.098025,0.130982,0.10198,0.148952,0.27829,0.318606,0.128976,0.162932,0.195766,0.148925,0.237328,0.095231,0.132584,0.490338,0.115932,0.079677,0.053311,0.131597,0.073147,0.415356,0.158481,0.056914,0.18877,0.147037,0.250857,0.164954,0.226655,0.093254,0.109562,0.222874,0.152386,0.136085
17,FIN_-15.0,0.463477,0.105048,0.262871,0.095049,0.121618,0.083834,0.107416,0.247576,0.222939,0.090828,0.16915,0.1772,0.239679,0.242163,0.102807,0.102674,0.457402,0.113069,0.078446,0.047238,0.118123,0.195268,0.306429,0.157018,0.108452,0.185105,0.252838,0.356834,0.153507,0.276188,0.164186,0.112822,0.199319,0.158936,0.205208
18,FIN_-10.0,0.50313,0.104881,0.237688,0.098395,0.135204,-0.01099,0.096794,0.233085,0.141601,0.103318,0.14766,0.166993,0.187574,0.269761,0.12446,0.108329,0.407624,0.138596,0.087113,0.043254,0.111965,0.156655,0.315996,0.087924,0.081658,0.184142,0.16786,0.313404,0.17476,0.213414,0.129253,0.119612,0.193446,0.121551,0.149803
19,FIN_-5.0,0.452488,0.091392,0.283219,0.085516,0.138707,0.034617,0.104886,0.238271,0.1963,0.112783,0.203358,0.175216,0.113716,0.267305,0.099358,0.099881,0.454024,0.091291,0.07927,0.049391,0.133872,0.082217,0.381586,0.142449,0.150112,0.197648,0.055464,0.376328,0.202643,0.232773,0.09919,0.090846,0.188285,0.133366,0.182283
20,FIN_0.0,0.542096,0.075747,0.275037,0.092936,0.145268,0.029734,0.12294,0.228481,0.239511,0.070046,0.195253,0.174629,0.142182,0.264841,0.128901,0.100358,0.533143,0.143741,0.08838,0.063302,0.149076,0.071612,0.401251,0.167097,0.097336,0.143492,0.113326,0.232296,0.184344,0.238368,0.092923,0.132381,0.218011,0.160415,0.114957
